proportion,elev,sloped,near_bld,bld_den,clust_dist,rdens,sw,tpi,bld_disp,PLAND1,PLAND3,CONNECT1,CONNECT3,log_proportion,log_bld_den,log_clust_dist
0.01639344262295082,4,0,59.3000090163934,0.72,20.87,41.8,0.425154606,3,0.55861386,37.735,941.729,25.397,166.667,-4.110873864173311,-0.3285040669720361,3.038312721089109
0.058823529411764705,1032,10.8096523529412,56.7556352941176,0.67,88.53,346.9,0.168993912,1,0.607700522,869.537,97.553,392.857,98.039,-2.833213344056216,-0.40047756659712525,4.483341477622957
0.07692307692307693,235.384615384615,11.5500238461538,56.0270461538462,0.6,38.5,40.52,0.131593154,6,0.610355602,453.081,546.919,2.968,95.238,-2.5649493574615367,-0.5108256237659907,3.6506582412937387
0.5196078431372549,191.441176470588,7.99370102941177,33.8922990196078,1.53,18.2,104.89,0.020034578,1,0.647734681,753.125,246.875,83.838,56.478,-0.6546808997321492,0.4252677354043441,2.9014215940827497
0.625,460.875,6.9671825,42.6016875,0.82,39.75,97.91,0.348023325,6,0.622962851,738.978,240.943,116.402,71.429,-0.4700036292457356,-0.19845093872383832,3.6826098411003407
0.1,754.9,4.035706,33.145674,1.06,80.39,127.9,-0.431031655,1,0.747499331,821.637,178.363,22.5,61.616,-2.3025850929940455,0.058268908123975824,4.386889790339869
0.10638297872340426,327.755319148936,12.2613975531915,59.1629531914894,0.78,38.5,56.98,0.06608074,1,0.56300534,474.721,504.801,2.198,64.171,-2.2407096892759584,-0.2484613592984996,3.6506582412937387
0.5252808988764045,284.216292134831,8.30536636235955,33.0387606741573,2.3,14.32,131.46,-0.065883526,1,0.591728097,749.918,249.247,62.409,40.727,-0.6438221139974438,0.8329091229351039,2.6616571615324998
0.25,1.5,0,59.903325,0.59,969.78,86.16,0.347247417,3,0.514343764,27.986,920.924,333.333,666.667,-1.3862943611198906,-0.527632742082372,6.877069241649772
0.041666666666666664,2,0,18.1061675,1.77,130.87,86.74,0.354175721,3,0.705817536,179.584,820.416,77.295,205.128,-3.1780538303479458,0.5709795465857378,4.87420446406739
0.05263157894736842,314.368421052632,2.09835578947368,33.904,0.85,909.14,110.67,-0.0323794,1,0.639464597,627.712,34.877,65.611,38.095,-2.9444389791664407,-0.16251892949777494,6.812499097719865
0.2222222222222222,311.722222222222,1.91025283333333,41.8029483333333,0.93,55.8,183.65,-0.180990533,1,0.541960695,634.528,62.273,77.381,66.667,-1.5040773967762742,-0.07257069283483537,4.021773869387265
0.21428571428571427,323.857142857143,1.2895655,43.3205457142857,0.85,20.25,111.74,-0.029687571,6,0.623206006,636.592,67.303,90.592,89.744,-1.540445040947149,-0.16251892949777494,3.0081547935525483
0.08333333333333333,552.833333333333,2.44343,49.7205333333333,0.81,134.53,188.17,0.011013033,6,0.5619587,558.474,72.116,380.952,89.474,-2.4849066497880004,-0.21072103131565253,4.901787222497451
0.125,574.25,6.45593375,84.9077,0.47,91.86,109.04,-0.1556245,1,0.516033839,633.838,81.899,833.333,66.138,-2.0794415416798357,-0.7550225842780328,4.520265678897648
0.1111111111111111,835.888888888889,6.04848488888889,55.8855688888889,0.63,1128.22,2172.72,-0.2325373,6,0.613482799,831.788,84.669,533.333,46.942,-2.1972245773362196,-0.4620354595965587,7.028396448502054
0.1,789.9,6.732062,65.97165,0.67,71.74,19.03,-0.0746798,6,0.55461987,858.709,137.395,363.636,58.824,-2.3025850929940455,-0.40047756659712525,4.273048472104136
0.03571428571428571,710.303571428571,3.11347144642857,53.8642857142857,0.78,5.24,454.46,0.147973479,1,0.520215893,862.295,134.618,274.725,55.128,-3.332204510175204,-0.2484613592984996,1.6563214983329508
0.05970149253731343,272.582089552239,8.26505641791045,24.2359,1.66,51.15,96.91,-0.181173985,1,0.741863413,572.185,424.088,44.403,55.556,-2.8183982582710754,0.5068176023684519,3.9347624923976356
0.7,129.7,1.0356728,67.74077,0.62,116.43,203.13,-0.1727134,1,0.501802946,284.453,664.843,28.242,104.762,-0.35667494393873245,-0.4780358009429998,4.7572902340489245
0.9942196531791907,149.049132947977,3.02153039595376,20.3794882080925,5.32,116.43,108.71,0.018286097,1,0.525486614,332.612,636.715,23.501,134.503,-0.005797117684325958,1.6714733033535532,4.7572902340489245
0.007142857142857143,123.87142857142901,0.884154585714286,28.999895,1.97,33.91,112.24,-0.037445013,6,0.668360807,588.207,263.663,71.373,166.667,-4.941642422609305,0.6780335427498971,3.523709956137547
