instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
University of Georgia,Southeastern Conference,Georgia,2010,31364,3469102,83680648,97204923,8736
University of Illinois at Urbana-Champaign,Big Ten Conference,Illinois,2014,41118,3927372,83773651,80848569,15020
University of Illinois at Urbana-Champaign,Big Ten Conference,Illinois,2013,41118,3957106,80163646,80623509,14750
University of Illinois at Urbana-Champaign,Big Ten Conference,Illinois,2012,41118,4061010,79140074,81169104,14522
University of Illinois at Urbana-Champaign,Big Ten Conference,Illinois,2011,41118,4226141,78477878,82603782,13838
University of Illinois at Urbana-Champaign,Big Ten Conference,Illinois,2010,41118,4326306,77946436,81447734,13096
Indiana University-Bloomington,Big Ten Conference,Indiana,2014,37467,3008362,80386732,84668779,10388
Indiana University-Bloomington,Big Ten Conference,Indiana,2013,37467,2590815,73414749,77523727,10209
Indiana University-Bloomington,Big Ten Conference,Indiana,2012,37467,2869063,72100990,75255522,10033
Indiana University-Bloomington,Big Ten Conference,Indiana,2011,37467,2850324,73533974,75340477,9524
Indiana University-Bloomington,Big Ten Conference,Indiana,2010,37467,2580819,71272847,75054842,9028
Iowa State University,Big 12 Conference,Iowa,2014,29398,1957396,67967712,68170381,7731
Iowa State University,Big 12 Conference,Iowa,2013,29398,1855462,62925056,63060127,7726
Iowa State University,Big 12 Conference,Iowa,2012,29398,1775272,56836882,56875345,7726
Iowa State University,Big 12 Conference,Iowa,2011,29398,3966732,51420495,51549596,7486
Iowa State University,Big 12 Conference,Iowa,2010,29398,3831689,50539333,50772813,6997
University of Iowa,Big Ten Conference,Iowa,2014,24295,683917,102278847,105958954,8079
University of Iowa,Big Ten Conference,Iowa,2013,24295,686488,108174074,108360708,8061
University of Iowa,Big Ten Conference,Iowa,2012,24295,560569,107930955,100963961,8057
University of Iowa,Big Ten Conference,Iowa,2011,24295,599054,93417912,99036381,7765
University of Iowa,Big Ten Conference,Iowa,2010,24295,569463,80633909,96120780,7417
University of Kansas,Big 12 Conference,Kansas,2014,23034,2564374,90056511,97681066,10448
University of Kansas,Big 12 Conference,Kansas,2013,23034,2902959,80617962,94162959,10107
University of Kansas,Big 12 Conference,Kansas,2012,23034,2939285,81442586,72424656,9678
University of Kansas,Big 12 Conference,Kansas,2011,23034,3646126,76374620,79406646,9222
University of Kansas,Big 12 Conference,Kansas,2010,23034,3898085,75004541,76420484,8733
Kansas State University,Big 12 Conference,Kansas,2013,20549,2514262,59993786,71250878,8585
Kansas State University,Big 12 Conference,Kansas,2012,20549,2821473,52589163,65249834,8047
Kansas State University,Big 12 Conference,Kansas,2011,20549,3492028,49382894,74205850,7657
Kansas State University,Big 12 Conference,Kansas,2010,20549,3504376,45861574,57884493,7376
University of Kentucky,Southeastern Conference,Kentucky,2014,25658,861548,96272431,96685489,10464
University of Kentucky,Southeastern Conference,Kentucky,2013,25658,856620,96154602,96798874,9966
University of Kentucky,Southeastern Conference,Kentucky,2012,25658,853034,90637739,91136493,9676
University of Kentucky,Southeastern Conference,Kentucky,2011,25658,868987,89643873,90045207,9128
University of Kentucky,Southeastern Conference,Kentucky,2010,25658,799636,85578640,86334596,8610
University of Louisville,Atlantic Coast Conference,Kentucky,2014,16364,7768599,88174474,88745348,10432
University of Louisville,Atlantic Coast Conference,Kentucky,2013,16364,11037053,95446306,97276803,9750
