instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
East Carolina University,American Athletic Conference,North Carolina,2014,20971,15680447,38723518,36598782,6143
East Carolina University,American Athletic Conference,North Carolina,2013,20971,15138125,37052183,36208524,6143
East Carolina University,American Athletic Conference,North Carolina,2012,20971,14837363,34674751,36687448,5869
East Carolina University,American Athletic Conference,North Carolina,2011,20971,14338319,34182385,36121565,5317
East Carolina University,American Athletic Conference,North Carolina,2010,20971,15018253,33010107,34967255,5076
University of Houston,American Athletic Conference,Texas,2014,28486,21744121,39486396,40310724,10518
University of Houston,American Athletic Conference,Texas,2013,28486,26408604,43144590,42498234,10272
University of Houston,American Athletic Conference,Texas,2012,28486,22011185,37533122,37798451,9888
University of Houston,American Athletic Conference,Texas,2011,28486,21368612,35487107,36721133,9211
University of Houston,American Athletic Conference,Texas,2010,28486,18870369,35784042,35784042,8997
University of Memphis,American Athletic Conference,Tennessee,2014,14385,19337485,50266862,50278503,8973
University of Memphis,American Athletic Conference,Tennessee,2013,14385,19119178,47025081,46868306,8642
University of Memphis,American Athletic Conference,Tennessee,2012,14385,19422798,48250999,48246213,8234
University of Memphis,American Athletic Conference,Tennessee,2011,14385,16130178,42760915,42842623,7696
University of Memphis,American Athletic Conference,Tennessee,2010,14385,12521312,42810280,42810280,6990
George Mason University,Atlantic 10 Conference,Virginia,2014,21421,17207352,21633368,21014697,10382
George Mason University,Atlantic 10 Conference,Virginia,2013,21421,18896115,22393148,22513405,9908
George Mason University,Atlantic 10 Conference,Virginia,2012,21421,16217835,19984071,20605522,9620
George Mason University,Atlantic 10 Conference,Virginia,2011,21421,15537448,19534088,18962842,9266
George Mason University,Atlantic 10 Conference,Virginia,2010,21421,15024661,18334938,18138845,8684
University of Massachusetts-Amherst,Atlantic 10 Conference,Massachusetts,2014,22808,26425129,33475242,33875918,13443
University of Massachusetts-Amherst,Atlantic 10 Conference,Massachusetts,2013,22808,24628743,31077990,30399223,13415
University of Massachusetts-Amherst,Atlantic 10 Conference,Massachusetts,2012,22808,25137791,30386995,30692748,13230
University of Massachusetts-Amherst,Atlantic 10 Conference,Massachusetts,2011,22808,23385885,28604451,28906993,12797
University of Massachusetts-Amherst,Atlantic 10 Conference,Massachusetts,2010,22808,21854463,27329861,27251945,11917
University of Rhode Island,Atlantic 10 Conference,Rhode Island,2014,13662,20044922,24885161,25502270,12506
University of Rhode Island,Atlantic 10 Conference,Rhode Island,2013,13662,18581382,23956387,25170574,12450
University of Rhode Island,Atlantic 10 Conference,Rhode Island,2012,13662,20372812,25798390,26523155,12450
University of Rhode Island,Atlantic 10 Conference,Rhode Island,2011,13662,18659181,23537329,25052393,11366
University of Rhode Island,Atlantic 10 Conference,Rhode Island,2010,13662,18379388,22950156,24334085,10476
Virginia Commonwealth University,Atlantic 10 Conference,Virginia,2014,24803,19035500,27511166,27957707,12398
Virginia Commonwealth University,Atlantic 10 Conference,Virginia,2013,24803,18339113,26130165,26813709,12002
Virginia Commonwealth University,Atlantic 10 Conference,Virginia,2012,24803,17737992,24503893,23491347,9885
Virginia Commonwealth University,Atlantic 10 Conference,Virginia,2011,24803,16889192,22759646,21156467,9517
Virginia Commonwealth University,Atlantic 10 Conference,Virginia,2010,24803,13856598,18218794,17618952,8817
Florida Gulf Coast University,Atlantic Sun Conference,Florida,2014,10539,9891551,12640775,14434002,6118
Florida Gulf Coast University,Atlantic Sun Conference,Florida,2013,10539,8915135,11907984,12255055,6118
Florida Gulf Coast University,Atlantic Sun Conference,Florida,2012,10539,8399548,10859982,11303475,6068
Florida Gulf Coast University,Atlantic Sun Conference,Florida,2011,10539,7970048,9794302,10258242,5533
Florida Gulf Coast University,Atlantic Sun Conference,Florida,2010,10539,6870713,8784359,9229139,4981
Kennesaw State University,Atlantic Sun Conference,Georgia,2014,17690,14907125,16630159,17516033,6932
Kennesaw State University,Atlantic Sun Conference,Georgia,2013,17690,10852859,14087948,12666639,6807
Kennesaw State University,Atlantic Sun Conference,Georgia,2012,17690,11157008,12906316,13326100,6486
Kennesaw State University,Atlantic Sun Conference,Georgia,2011,17690,10453220,11577538,12056038,6282
Kennesaw State University,Atlantic Sun Conference,Georgia,2010,17690,10275201,10472077,11575821,5942
Northern Kentucky University,Atlantic Sun Conference,Kentucky,2014,10597,10113985,11430808,11951518,8856
Northern Kentucky University,Atlantic Sun Conference,Kentucky,2013,10597,9409572,11309686,11309686,8376
Northern Kentucky University,Atlantic Sun Conference,Kentucky,2012,10597,8003314,9404819,9404819,8064
University of North Florida,Atlantic Sun Conference,Florida,2014,10829,7916145,10236045,10453436,6385
University of North Florida,Atlantic Sun Conference,Florida,2013,10829,7500496,9390056,9649248,6353
University of North Florida,Atlantic Sun Conference,Florida,2012,10829,7019156,9329471,9247373,6235
University of North Florida,Atlantic Sun Conference,Florida,2011,10829,6990299,9107807,8949113,5627
University of North Florida,Atlantic Sun Conference,Florida,2010,10829,6852459,8884643,8582953,4909
University of South Carolina-Upstate,Atlantic Sun Conference,South Carolina,2014,4236,5834118,7143471,7138589,10518
University of South Carolina-Upstate,Atlantic Sun Conference,South Carolina,2013,4236,6088042,7408380,7032954,10028
University of South Carolina-Upstate,Atlantic Sun Conference,South Carolina,2012,4236,6251052,7229196,7059173,9722
University of South Carolina-Upstate,Atlantic Sun Conference,South Carolina,2011,4236,6238809,6883610,7192207,9686
University of South Carolina-Upstate,Atlantic Sun Conference,South Carolina,2010,4236,6408284,7160910,7109356,9332
Eastern Washington University,Big Sky Conference,Washington,2014,10544,9153007,13360741,12858386,7982
Eastern Washington University,Big Sky Conference,Washington,2013,10544,8330636,11667985,11598747,7961
Eastern Washington University,Big Sky Conference,Washington,2012,10544,8291261,11283969,11473875,7933
Eastern Washington University,Big Sky Conference,Washington,2011,10544,7866117,10378847,10816174,7240
Eastern Washington University,Big Sky Conference,Washington,2010,10544,7609627,9437701,9923635,6605
University of Idaho,Big Sky Conference,Idaho,2014,9387,9381453,18920334,18920916,6784
University of Idaho,Big Sky Conference,Idaho,2013,9387,9399967,19941696,19813880,6524
University of Idaho,Big Sky Conference,Idaho,2012,9387,9043074,18945936,19165261,6212
University of Idaho,Big Sky Conference,Idaho,2011,9387,9912078,18368088,18613359,5856
University of Idaho,Big Sky Conference,Idaho,2010,9387,8908459,16961835,16988544,5402
Idaho State University,Big Sky Conference,Idaho,2014,8231,7476288,12491220,12503225,6566
Idaho State University,Big Sky Conference,Idaho,2013,8231,7504744,11677282,11809342,6344
Idaho State University,Big Sky Conference,Idaho,2012,8231,7622777,12132284,12116494,6070
Idaho State University,Big Sky Conference,Idaho,2011,8231,7271077,11460278,11505198,5796
Idaho State University,Big Sky Conference,Idaho,2010,8231,7321727,11298700,11976255,5416
The University of Montana,Big Sky Conference,Montana,2014,10582,8642945,20539725,20609017,6099
The University of Montana,Big Sky Conference,Montana,2013,10582,8685239,19700761,20242147,6045
The University of Montana,Big Sky Conference,Montana,2012,10582,8123545,19859716,20840194,5985
The University of Montana,Big Sky Conference,Montana,2011,10582,7961307,19030928,19798390,5722
The University of Montana,Big Sky Conference,Montana,2010,10582,7181370,18218547,18264601,5476
Montana State University,Big Sky Conference,Montana,2014,11549,10561845,18610685,18787426,6894
Montana State University,Big Sky Conference,Montana,2013,11549,10540856,18165546,18147769,6821
Montana State University,Big Sky Conference,Montana,2012,11549,11491288,23289095,23278034,6749
Montana State University,Big Sky Conference,Montana,2011,11549,15419141,21984804,21937398,6472
Montana State University,Big Sky Conference,Montana,2010,11549,10069540,16278479,16345343,6168
University of North Dakota,Big Sky Conference,North Dakota,2014,11160,13357249,23936729,23815870,7741
University of North Dakota,Big Sky Conference,North Dakota,2013,11160,11099651,22325816,22325816,7508
University of North Dakota,Big Sky Conference,North Dakota,2012,11160,9554736,20700987,19996165,7254
University of North Dakota,Big Sky Conference,North Dakota,2011,11160,9550379,19727731,19855495,7092
University of North Dakota,Big Sky Conference,North Dakota,2010,11160,9089692,19510629,19712121,6934
Northern Arizona University,Big Sky Conference,Arizona,2014,20533,11956387,15009485,15235528,9990
Northern Arizona University,Big Sky Conference,Arizona,2013,20533,9627583,12958767,12979435,9740
Northern Arizona University,Big Sky Conference,Arizona,2012,20533,8909691,12025850,11917528,9271
Northern Arizona University,Big Sky Conference,Arizona,2011,20533,8882982,11666908,11331741,8830
Northern Arizona University,Big Sky Conference,Arizona,2010,20533,8270765,10875902,11357144,7667
University of Northern Colorado,Big Sky Conference,Colorado,2014,9735,9688815,13438008,13339533,7573
University of Northern Colorado,Big Sky Conference,Colorado,2013,9735,8475040,12376198,3853832,7168
University of Northern Colorado,Big Sky Conference,Colorado,2012,9735,7149674,12110775,11425762,6836
University of Northern Colorado,Big Sky Conference,Colorado,2011,9735,6929928,11372133,11698025,6623
University of Northern Colorado,Big Sky Conference,Colorado,2010,9735,6804561,10704850,10963458,5655
Portland State University,Big Sky Conference,Oregon,2014,17308,10041697,14401920,13402378,7794
Portland State University,Big Sky Conference,Oregon,2013,17308,9768738,13841965,13559171,7878
Portland State University,Big Sky Conference,Oregon,2012,17308,9819722,13385293,13383839,7653
Portland State University,Big Sky Conference,Oregon,2011,17308,9160140,11990212,12108618,7764
Portland State University,Big Sky Conference,Oregon,2010,17308,8618814,11550931,11361144,7130
Southern Utah University,Big Sky Conference,Utah,2014,5421,7961064,10589364,10598596,6138
Southern Utah University,Big Sky Conference,Utah,2013,5421,8373610,10759791,11241917,5924
Southern Utah University,Big Sky Conference,Utah,2012,5421,8222386,10516278,10634340,5576
Southern Utah University,Big Sky Conference,Utah,2011,5421,7686997,10146291,9865717,5198
Weber State University,Big Sky Conference,Utah,2014,11155,8883487,13407076,13377335,5184
Weber State University,Big Sky Conference,Utah,2013,11155,8286960,12423971,12479928,4991
Weber State University,Big Sky Conference,Utah,2012,11155,8046413,11973457,11923664,4768
Weber State University,Big Sky Conference,Utah,2011,11155,7564456,11531196,11711348,4540
Weber State University,Big Sky Conference,Utah,2010,11155,7665823,10987532,11298936,4311
Longwood University,Big South Conference,Virginia,2014,4265,8416143,9650604,9774504,11580
Longwood University,Big South Conference,Virginia,2013,4265,7988520,9431829,9162218,11340
Longwood University,Big South Conference,Virginia,2012,4265,7194131,8192828,8425903,10890
Longwood University,Big South Conference,Virginia,2011,4265,7037642,7775901,8365543,10530
Longwood University,Big South Conference,Virginia,2010,4265,6418652,7344088,7466907,9855
University of North Carolina at Asheville,Big South Conference,North Carolina,2014,3129,4623708,6324972,6340084,6392
University of North Carolina at Asheville,Big South Conference,North Carolina,2013,3129,4418118,5960785,5839266,6121
University of North Carolina at Asheville,Big South Conference,North Carolina,2012,3129,4137290,5708850,5614545,5866
University of North Carolina at Asheville,Big South Conference,North Carolina,2011,3129,3701616,5084507,4926238,5393
University of North Carolina at Asheville,Big South Conference,North Carolina,2010,3129,3067072,3987146,4240592,4772
Radford University,Big South Conference,Virginia,2014,9166,11237598,12423704,13100864,9360
Radford University,Big South Conference,Virginia,2013,9166,10892331,11731016,12317315,8976
Radford University,Big South Conference,Virginia,2012,9166,10618165,11188881,12100236,8590
Radford University,Big South Conference,Virginia,2011,9166,10140991,10649873,12587451,8320
Radford University,Big South Conference,Virginia,2010,9166,9919156,11201813,11808245,7694
Winthrop University,Big South Conference,South Carolina,2014,4928,10775669,12301745,12549290,13812
Winthrop University,Big South Conference,South Carolina,2013,4928,10734822,12402841,12594227,13670
Winthrop University,Big South Conference,South Carolina,2012,4928,9647102,11364369,11490557,13266
Winthrop University,Big South Conference,South Carolina,2011,4928,9340621,11322474,11442514,12706
Winthrop University,Big South Conference,South Carolina,2010,4928,9906641,11677950,12026011,12226
University of Nebraska-Lincoln,Big Ten Conference,Nebraska,2014,20880,0,94613589,94797692,8070
University of Nebraska-Lincoln,Big Ten Conference,Nebraska,2013,20880,0,85278512,87894979,8075
University of Nebraska-Lincoln,Big Ten Conference,Nebraska,2012,20880,0,82231114,84183495,7897
University of Nebraska-Lincoln,Big Ten Conference,Nebraska,2011,20880,0,87468389,88773691,7563
University of Nebraska-Lincoln,Big Ten Conference,Nebraska,2010,20880,0,77709041,79600003,7224
University of California-Davis,Big West Conference,California,2014,31986,25136071,29531570,31062590,13896
University of California-Davis,Big West Conference,California,2013,31986,22436124,29206327,28558800,13902
University of California-Davis,Big West Conference,California,2012,31986,21462478,27828282,26353748,13877
University of California-Davis,Big West Conference,California,2011,31986,22228688,27285244,28643019,13860
University of California-Davis,Big West Conference,California,2010,31986,22429464,27729462,29089918,11984
University of California-Irvine,Big West Conference,California,2014,28046,13369049,16856259,16762755,14757
University of California-Irvine,Big West Conference,California,2013,28046,12437499,15476382,15393301,13149
University of California-Irvine,Big West Conference,California,2012,28046,12474872,15832671,15857747,14226
University of California-Irvine,Big West Conference,California,2011,28046,12554272,15682927,15708623,13122
University of California-Irvine,Big West Conference,California,2010,28046,11435399,15116665,14691386,11232
University of California-Riverside,Big West Conference,California,2014,20653,13788851,15685813,15484936,13407
University of California-Riverside,Big West Conference,California,2013,20653,14227853,16186881,16007558,12960
University of California-Riverside,Big West Conference,California,2012,20653,13398787,15167393,15092693,12923
University of California-Riverside,Big West Conference,California,2011,20653,12595318,14277166,14736903,12923
University of California-Riverside,Big West Conference,California,2010,20653,12524333,13983217,14746887,11029
University of California-Santa Barbara,Big West Conference,California,2014,21771,12447088,15980965,15588782,13860
University of California-Santa Barbara,Big West Conference,California,2013,21771,12155351,15885637,14540687,13746
University of California-Santa Barbara,Big West Conference,California,2012,21771,12058096,16802924,14799870,13671
University of California-Santa Barbara,Big West Conference,California,2011,21771,12183694,15846704,15248165,13595
University of California-Santa Barbara,Big West Conference,California,2010,21771,11641534,14518862,14539120,11713
University of Hawaii at Manoa,Big West Conference,Hawaii,2014,14803,18005273,43086528,40989898,10620
University of Hawaii at Manoa,Big West Conference,Hawaii,2013,14803,15022571,40811952,37434042,9904
University of Hawaii at Manoa,Big West Conference,Hawaii,2012,14803,14074073,41580393,39064069,9404
University of Hawaii at Manoa,Big West Conference,Hawaii,2011,14803,12716071,38557421,39041716,9100
University of Hawaii at Manoa,Big West Conference,Hawaii,2010,14803,11420901,37854759,39256354,8096
College of Charleston,Colonial Athletic Association,South Carolina,2014,10022,13153721,18121066,17440104,10878
College of Charleston,Colonial Athletic Association,South Carolina,2013,10022,12216041,17596025,16027788,10490
College of Charleston,Colonial Athletic Association,South Carolina,2012,10022,11922960,14908031,15674602,9918
College of Charleston,Colonial Athletic Association,South Carolina,2011,10022,11108038,13347667,13993600,9616
College of Charleston,Colonial Athletic Association,South Carolina,2010,10022,10476495,12463732,13180551,10314
James Madison University,Colonial Athletic Association,Virginia,2014,18626,35725049,43767486,43767486,9662
James Madison University,Colonial Athletic Association,Virginia,2013,18626,28748944,36479148,36479148,9176
James Madison University,Colonial Athletic Association,Virginia,2012,18626,28151948,35676860,35676860,8808
James Madison University,Colonial Athletic Association,Virginia,2011,18626,27269312,33039428,32841564,8448
James Madison University,Colonial Athletic Association,Virginia,2010,18626,25989171,31404862,31019987,7860
University of North Carolina Wilmington,Colonial Athletic Association,North Carolina,2014,12001,8793355,12351215,12268374,6392
University of North Carolina Wilmington,Colonial Athletic Association,North Carolina,2013,12001,8609770,11419300,11637926,6266
University of North Carolina Wilmington,Colonial Athletic Association,North Carolina,2012,12001,7769128,12122400,11648065,6122
University of North Carolina Wilmington,Colonial Athletic Association,North Carolina,2011,12001,8587597,12079627,11252652,5672
University of North Carolina Wilmington,Colonial Athletic Association,North Carolina,2010,12001,7174067,10264020,10084923,5416
Towson University,Colonial Athletic Association,Maryland,2014,17786,19821921,24477033,24833346,8590
Towson University,Colonial Athletic Association,Maryland,2013,17786,18976774,23357974,23088912,8342
Towson University,Colonial Athletic Association,Maryland,2012,17786,19252857,25819855,23578870,8132
Towson University,Colonial Athletic Association,Maryland,2011,17786,18993165,21796235,22431764,7906
Towson University,Colonial Athletic Association,Maryland,2010,17786,18736792,21769693,22229526,7656
College of William and Mary,Colonial Athletic Association,Virginia,2014,7850,12691327,23664883,23664928,17656
College of William and Mary,Colonial Athletic Association,Virginia,2013,7850,12124396,21483793,21543076,15463
College of William and Mary,Colonial Athletic Association,Virginia,2012,7850,11854094,21022243,21123484,13570
College of William and Mary,Colonial Athletic Association,Virginia,2011,7850,11453413,24110471,24153852,13132
College of William and Mary,Colonial Athletic Association,Virginia,2010,7850,10779361,19479318,19624628,12188
University of Alabama at Birmingham,Conference USA,Alabama,2014,11961,20345607,30805171,31549517,9280
University of Alabama at Birmingham,Conference USA,Alabama,2013,11961,18274067,27854882,28476420,8904
University of Alabama at Birmingham,Conference USA,Alabama,2012,11961,19324684,28269707,28993183,8400
University of Alabama at Birmingham,Conference USA,Alabama,2011,11961,17636115,26759942,27253908,7470
University of Alabama at Birmingham,Conference USA,Alabama,2010,11961,15434812,25823386,26294362,7174
Florida Atlantic University,Conference USA,Florida,2014,17779,16358377,24033024,24352818,6039
Florida Atlantic University,Conference USA,Florida,2013,17779,16777335,22214842,24814799,6193
Florida Atlantic University,Conference USA,Florida,2012,17779,14371952,20646073,23952669,5986
Florida Atlantic University,Conference USA,Florida,2011,17779,13792558,19438557,20621720,5330
Florida Atlantic University,Conference USA,Florida,2010,17779,12002656,16474530,17640035,4794
Florida International University,Conference USA,Florida,2014,31932,22540365,27542910,28104062,6497
Florida International University,Conference USA,Florida,2013,31932,22217063,26571534,28651381,6540
Florida International University,Conference USA,Florida,2012,31932,21668884,28285830,25989504,6418
Florida International University,Conference USA,Florida,2011,31932,20322186,26104019,25301800,5678
Florida International University,Conference USA,Florida,2010,31932,19343512,24383131,23835911,5091
Louisiana Tech University,Conference USA,Louisiana,2014,7549,9651372,19239017,19277701,7662
Louisiana Tech University,Conference USA,Louisiana,2013,7549,9318472,18652134,18779662,6936
Louisiana Tech University,Conference USA,Louisiana,2012,7549,9916165,19271853,19319931,6543
Louisiana Tech University,Conference USA,Louisiana,2011,7549,9801322,18178379,18190341,5868
Louisiana Tech University,Conference USA,Louisiana,2010,7549,9400441,17853724,17968170,5484
Marshall University,Conference USA,West Virginia,2014,9949,14056395,29441144,28707091,6526
Marshall University,Conference USA,West Virginia,2013,9949,14625523,28656283,27898003,6216
Marshall University,Conference USA,West Virginia,2012,9949,14930637,27655169,30116598,5930
Marshall University,Conference USA,West Virginia,2011,9949,13242140,27738642,29115592,5648
Marshall University,Conference USA,West Virginia,2010,9949,10391327,27815904,24987731,5285
Middle Tennessee State University,Conference USA,Tennessee,2014,18280,19674538,29036660,30410530,8266
Middle Tennessee State University,Conference USA,Tennessee,2013,18280,19834074,29039964,27979185,7840
Middle Tennessee State University,Conference USA,Tennessee,2012,18280,19789948,27277718,27385743,7492
Middle Tennessee State University,Conference USA,Tennessee,2011,18280,19466287,25809195,28776408,7018
Middle Tennessee State University,Conference USA,Tennessee,2010,18280,16689196,22531264,22531264,6478
University of North Carolina at Charlotte,Conference USA,North Carolina,2014,20436,20459306,28366612,29591208,6277
University of North Carolina at Charlotte,Conference USA,North Carolina,2013,20436,18878261,26416695,26982360,6009
University of North Carolina at Charlotte,Conference USA,North Carolina,2012,20436,18885517,20899090,21216838,5873
University of North Carolina at Charlotte,Conference USA,North Carolina,2011,20436,14119784,18585998,19757832,5440
University of North Carolina at Charlotte,Conference USA,North Carolina,2010,20436,13511655,16111510,19130639,5138
University of North Texas,Conference USA,Texas,2014,27282,19784033,31182673,31617094,9706
University of North Texas,Conference USA,Texas,2013,27282,17826984,29252283,29124829,9104
University of North Texas,Conference USA,Texas,2012,27282,9754768,27372340,19624612,8717
University of North Texas,Conference USA,Texas,2011,27282,5358603,20088100,11944618,8349
University of North Texas,Conference USA,Texas,2010,27282,5476803,18528750,11051130,7496
Old Dominion University,Conference USA,Virginia,2014,16957,26733437,41118876,41061440,9250
Old Dominion University,Conference USA,Virginia,2013,16957,27394479,37630586,37345438,8820
Old Dominion University,Conference USA,Virginia,2012,16957,26838566,35449790,36349450,8450
Old Dominion University,Conference USA,Virginia,2011,16957,25354215,32791226,34896123,8144
Old Dominion University,Conference USA,Virginia,2010,16957,25633477,31465767,35178882,7708
University of Southern Mississippi,Conference USA,Mississippi,2014,12317,9413473,23536254,23536254,6980
University of Southern Mississippi,Conference USA,Mississippi,2013,12317,9913187,22651348,23032958,6744
University of Southern Mississippi,Conference USA,Mississippi,2012,12317,8522423,22599293,22199738,6336
University of Southern Mississippi,Conference USA,Mississippi,2011,12317,8503349,21962256,21932085,5834
University of Southern Mississippi,Conference USA,Mississippi,2010,12317,8666298,21276375,21373631,5453
The University of Texas at El Paso,Conference USA,Texas,2014,14241,15016788,28521887,28645661,7059
The University of Texas at El Paso,Conference USA,Texas,2013,14241,14985304,29291053,29344690,7059
The University of Texas at El Paso,Conference USA,Texas,2012,14241,15351179,27939291,28082326,7018
The University of Texas at El Paso,Conference USA,Texas,2011,14241,14715043,29344338,29380229,6869
The University of Texas at El Paso,Conference USA,Texas,2010,14241,14837623,28829501,28915830,6537
Western Kentucky University,Conference USA,Kentucky,2014,14315,15758435,27716031,27716031,9140
Western Kentucky University,Conference USA,Kentucky,2013,14315,16598889,27917345,27917345,8722
Western Kentucky University,Conference USA,Kentucky,2012,14315,18248895,26575982,26575982,8472
Western Kentucky University,Conference USA,Kentucky,2011,14315,14954735,23625120,23625120,8084
Western Kentucky University,Conference USA,Kentucky,2010,14315,16776571,25177961,25177961,7560
Cleveland State University,Horizon League,Ohio,2014,10825,9627983,11446911,11446911,9686
Cleveland State University,Horizon League,Ohio,2013,10825,9732681,11417988,11417988,9499
Cleveland State University,Horizon League,Ohio,2012,10825,9332373,11252963,11252963,9314
Cleveland State University,Horizon League,Ohio,2011,10825,9533645,11277640,11277640,9002
Cleveland State University,Horizon League,Ohio,2010,10825,9196809,10981349,10981349,8516
University of Illinois at Chicago,Horizon League,Illinois,2014,23239,12410075,20871153,21187176,13634
University of Illinois at Chicago,Horizon League,Illinois,2013,23239,11364367,14719670,14933340,13410
University of Illinois at Chicago,Horizon League,Illinois,2012,23239,10774626,13388995,14562579,13130
University of Illinois at Chicago,Horizon League,Illinois,2011,23239,10991115,14726803,14726803,12656
University of Illinois at Chicago,Horizon League,Illinois,2010,23239,10513061,13545548,13924593,12056
Oakland University,Horizon League,Michigan,2014,13863,9340386,11537425,11891893,10613
Oakland University,Horizon League,Michigan,2013,13863,10184208,13130341,12863538,10613
Oakland University,Horizon League,Michigan,2012,13863,8444799,11014967,10979779,10230
Oakland University,Horizon League,Michigan,2011,13863,8531495,11194939,11023499,9938
Oakland University,Horizon League,Michigan,2010,13863,8761044,10605231,10959433,9285
University of Wisconsin-Green Bay,Horizon League,Wisconsin,2014,4388,4997939,8853983,8823409,7758
University of Wisconsin-Green Bay,Horizon League,Wisconsin,2013,4388,4957337,8166298,8289197,7676
University of Wisconsin-Green Bay,Horizon League,Wisconsin,2012,4388,5022181,8093339,8149638,7610
University of Wisconsin-Green Bay,Horizon League,Wisconsin,2011,4388,4904848,7884984,7850932,7282
University of Wisconsin-Green Bay,Horizon League,Wisconsin,2010,4388,4668652,7549546,7519392,6973
Wright State University-Main Campus,Horizon League,Ohio,2014,12900,8417787,11236512,10710593,8730
Wright State University-Main Campus,Horizon League,Ohio,2013,12900,7853693,10974309,10288520,8542
Wright State University-Main Campus,Horizon League,Ohio,2012,12900,8017803,10546460,10253480,8354
Wright State University-Main Campus,Horizon League,Ohio,2011,12900,7917889,10518217,10325965,8070
Wright State University-Main Campus,Horizon League,Ohio,2010,12900,8027648,10680879,10186038,7797
Youngstown State University,Horizon League,Ohio,2014,10038,10085921,14385066,14385066,8327
Youngstown State University,Horizon League,Ohio,2013,10038,10097840,13786543,13786543,7898
Youngstown State University,Horizon League,Ohio,2012,10038,8868808,12938998,12938998,7712
Youngstown State University,Horizon League,Ohio,2011,10038,9554056,13227830,13227830,7451
Youngstown State University,Horizon League,Ohio,2010,10038,9152610,12828458,12828458,7199
New Jersey Institute of Technology,Independent,New Jersey,2014,7305,11899220,12482364,13136737,15648
New Jersey Institute of Technology,Independent,New Jersey,2013,7305,11517341,12830691,13631831,15218
New Jersey Institute of Technology,Independent,New Jersey,2012,7305,10623227,11041434,11617361,14740
New Jersey Institute of Technology,Independent,New Jersey,2011,7305,10538895,10624203,11394903,13974
New Jersey Institute of Technology,Independent,New Jersey,2010,7305,11021970,11100466,11863128,13370
University of Akron Main Campus,Mid-American Conference,Ohio,2014,18340,22654017,32050686,32774266,10320
University of Akron Main Campus,Mid-American Conference,Ohio,2013,18340,21003423,28727707,28269026,10130
University of Akron Main Campus,Mid-American Conference,Ohio,2012,18340,19950826,28076956,28068441,9863
University of Akron Main Campus,Mid-American Conference,Ohio,2011,18340,20534681,26887282,27141118,9545
University of Akron Main Campus,Mid-American Conference,Ohio,2010,18340,18700689,26537406,26011041,9247
Ball State University,Mid-American Conference,Indiana,2014,16588,17397330,25245450,23424359,9344
Ball State University,Mid-American Conference,Indiana,2013,16588,16126163,22983132,21556092,9610
Ball State University,Mid-American Conference,Indiana,2012,16588,14926512,20805482,21790494,8980
Ball State University,Mid-American Conference,Indiana,2011,16588,15766834,20693537,21730390,8558
Ball State University,Mid-American Conference,Indiana,2010,16588,16024524,18791865,21808331,8214
Bowling Green State University-Main Campus,Mid-American Conference,Ohio,2014,14764,14722441,23306965,23469664,10726
Bowling Green State University-Main Campus,Mid-American Conference,Ohio,2013,14764,14478068,20934659,23877395,10726
Bowling Green State University-Main Campus,Mid-American Conference,Ohio,2012,14764,14939938,18962165,21380152,10514
Bowling Green State University-Main Campus,Mid-American Conference,Ohio,2011,14764,13634265,19128715,21384423,10044
Bowling Green State University-Main Campus,Mid-American Conference,Ohio,2010,14764,12552690,19335969,20419784,9704
University at Buffalo,Mid-American Conference,New York,2014,24816,23979061,31134149,31277980,8871
University at Buffalo,Mid-American Conference,New York,2013,24816,22339261,29286319,29290286,8426
University at Buffalo,Mid-American Conference,New York,2012,24816,20748594,28337288,28339394,7989
University at Buffalo,Mid-American Conference,New York,2011,24816,22091090,27817914,27824638,7482
University at Buffalo,Mid-American Conference,New York,2010,24816,21433188,27494715,27497878,7136
Central Michigan University,Mid-American Conference,Michigan,2014,19653,21605613,29281777,29281777,11550
Central Michigan University,Mid-American Conference,Michigan,2013,19653,18782018,27493723,27992402,11220
Central Michigan University,Mid-American Conference,Michigan,2012,19653,17800622,26543600,26543600,10950
Central Michigan University,Mid-American Conference,Michigan,2011,19653,17621199,24849556,24931128,10740
Central Michigan University,Mid-American Conference,Michigan,2010,19653,17827722,26111005,26759214,10380
Eastern Michigan University,Mid-American Conference,Michigan,2014,14493,25083708,30081523,30081523,9663
Eastern Michigan University,Mid-American Conference,Michigan,2013,14493,22616627,28110755,28110755,9364
Eastern Michigan University,Mid-American Conference,Michigan,2012,14493,25058643,28667240,29971572,9026
Eastern Michigan University,Mid-American Conference,Michigan,2011,14493,24150239,27552033,29404908,8683
Eastern Michigan University,Mid-American Conference,Michigan,2010,14493,23868304,26686020,28457311,8378
Kent State University at Kent,Mid-American Conference,Ohio,2014,21737,19039679,24982288,24932694,10012
Kent State University at Kent,Mid-American Conference,Ohio,2013,21737,20790380,27455313,26856806,9816
Kent State University at Kent,Mid-American Conference,Ohio,2012,21737,17908729,23446481,23619763,9672
Kent State University at Kent,Mid-American Conference,Ohio,2011,21737,17735561,22020294,22754500,9496
Kent State University at Kent,Mid-American Conference,Ohio,2010,21737,16927104,21065285,21065285,9030
Miami University-Oxford,Mid-American Conference,Ohio,2014,16038,21115125,28712466,29393128,14287
Miami University-Oxford,Mid-American Conference,Ohio,2013,16038,19652934,29252770,29029017,13799
Miami University-Oxford,Mid-American Conference,Ohio,2012,16038,20609171,28703121,29000716,13595
