unitid,"instnm","chronname","conference","city","state","nickname",year,"url",full_time_enrollment,inflation_adjusted_ticket_sales,inflation_adjusted_student_fees,inflation_adjusted_direct_state_govt_support,inflation_adjusted_direct_institutional_support,inflation_adjusted_indirect_facil_admin_support,inflation_adjusted_ncaa_distributions,inflation_adjusted_royalties,inflation_adjusted_tv_revenue,inflation_adjusted_endowments,inflation_adjusted_athletic_revenues,inflation_adjusted_other_revenues,inflation_adjusted_athletic_expenses,inflation_adjusted_subsidy,inflation_adjusted_subsidyproportion,inflation_adjusted_institutional_subsidy,inflation_adjusted_institutionalsubsidy_proportion,inflation_adjusted_net_revenue,inflation_adjusted_net_revenue_before_subsidy,inflation_adjusted_external_revenue,ticket_sales,student_fees,direct_state_govt_support,direct_institutional_support,indirect_facil_admin_support,ncaa_distributions,royalties,tv_revenue,endowments,athletic_revenues,other_revenues,athletic_expenses,subsidy,subsidyproportion,institutional_subsidy,institutionalsubsidy_proportion,net_revenue,net_revenue_before_subsidy,external_revenue,instate_tuition
104151,"Arizona State University-Tempe","Arizona State University","Pacific-12 Conference","Tempe","Arizona","Sun Devils",2012,"arizona-state-fy2012.pdf",42498,9342309,0,0,9174310,1492936,13302779,11516492,0,1080035,61726921,16898095,67638542,10667246,0.172814,10667246,0.172814,-5911621,-16578868,51059675,9059072,0,0,8896167,1447674,12899470,11167339,0,1047291,59855508,16385786,65587903,10343841,0.172814,10343841,0.172814,-5732395,-16076236,49511667,9724
104151,"Arizona State University-Tempe","Arizona State University","Pacific-12 Conference","Tempe","Arizona","Sun Devils",2011,"arizona-state-fy2011.pdf",42498,8596997,0,0,9892096,1417833,9453074,11475246,0,256211,58660096,17824850,60555635,11309929,0.192804,11309929,0.192804,-1895539,-13205468,47350167,8103692,0,0,9324476,1336476,8910646,10816783,0,241509,55294113,16802040,57080884,10660952,0.192804,10660952,0.192804,-1786771,-12447723,44633161,9720
104151,"Arizona State University-Tempe","Arizona State University","Pacific-12 Conference","Tempe","Arizona","Sun Devils",2010,"arizona-state-fy2010.pdf",42498,13041222,0,0,9756512,1454447,10040974,11317252,0,179883,61208258,15597852,62725197,11210959,0.183161,11210959,0.183161,-1516939,-12727898,49997300,12039166,0,0,9006845,1342691,9269450,10447662,0,166061,56505165,14399351,57905546,10349536,0.183161,10349536,0.183161,-1400381,-11749917,46155629,8132
104179,"University of Arizona","University of Arizona","Pacific-12 Conference","Tucson","Arizona","Wildcats",2014,"university-of-arizona-fy2014.pdf",35388,14931449,0,0,6758419,1142715,22106806,6308525,0,501027,99911034,48663120,95524260,7901134,0.0790817,7901134,0.0790817,4386774,-3514360,92009900,14931449,0,0,6758419,1142715,22106806,6308525,0,501027,99911034,48663120,95524260,7901134,0.0790817,7901134,0.0790817,4386774,-3514360,92009900,10957
104179,"University of Arizona","University of Arizona","Pacific-12 Conference","Tucson","Arizona","Wildcats",2013,"university-of-arizona-fy2013.pdf",35388,15225583,0,0,6308870,1100558,19856125,5963397,0,567222,69282587,20828054,69021905,7409429,0.106945,7409428,0.106945,260682,-7148746,61873159,15056000,0,0,6238602,1088300,19634967,5896976,0,560904,68510915,20596070,68253136,7326902,0.106945,7326902,0.106945,257779,-7069123,61184013,10391
104179,"University of Arizona","University of Arizona","Pacific-12 Conference","Tucson","Arizona","Wildcats",2012,"university-of-arizona-fy2012.pdf",35388,13107921,0,0,6393710,1089635,11617692,7334146,0,611287,80463686,40920582,79203953,7483345,0.0930028,7483345,0.0930028,1259733,-6223612,72980341,12710520,0,0,6199868,1056600,11265471,7111792,0,592754,78024219,39679968,76802678,7256468,0.0930028,7256468,0.0930028,1221541,-6034927,70767751,10035
104179,"University of Arizona","University of Arizona","Pacific-12 Conference","Tucson","Arizona","Wildcats",2011,"university-of-arizona-fy2011.pdf",35388,14599989,0,0,6779349,1067505,13402244,6903709,0,1037372,63295071,20542276,62067830,7846853,0.123973,7846854,0.123973,1227240,-6619613,55448218,13762225,0,0,6390342,1006250,12633208,6507566,0,977846,59663128,19363537,58506308,7396592,0.123973,7396592,0.123973,1156820,-6239772,52266536,9299
104179,"University of Arizona","University of Arizona","Pacific-12 Conference","Tucson","Arizona","Wildcats",2010,"university-of-arizona-fy2010.pdf",35388,13795509,0,0,6181508,1090003,10723645,8400363,0,571232,62956364,22765335,61656698,7271511,0.115501,7271511,0.115501,1299665,-5971846,55684852,12735496,0,0,5706536,1006250,9899666,7754900,0,527340,58118950,21016102,56919148,6712786,0.115501,6712786,0.115501,1199802,-5512984,51406164,8237
106397,"University of Arkansas","University of Arkansas at Fayetteville","Southeastern Conference","Fayetteville","Arkansas","Razorbacks and Razorback women",2014,"university-of-arkansas-fayetteville-fy2014.pdf",20379,34284318,0,0,1936405,0,21666355,11813916,0,2393611,96793972,27092978,94745423,1936405,0.0200054,1936405,0.0200054,2048549,112144,94857567,34284318,0,0,1936405,0,21666355,11813916,0,2393611,96793972,27092978,94745423,1936405,0.0200054,1936405,0.0200054,2048549,112144,94857567,8210
106397,"University of Arkansas","University of Arkansas at Fayetteville","Southeastern Conference","Fayetteville","Arkansas","Razorbacks and Razorback women",2013,"university-of-arkansas-fayetteville-fy2013.pdf",20379,39878496,0,0,2050275,0,22512529,11189997,1110959,1565722,100894608,25263311,94291663,2050275,0.020321,2050275,0.020321,6602945,4552670,98844333,39434328,0,0,2027439,0,22261784,11065362,1098585,1548283,99770840,24981927,93241439,2027439,0.020321,2027439,0.020321,6529401,4501962,97743401,7818
