no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1533,F2,5,F2-5,RRR,R,rich,rich,rich,f,1.2,3.5,5,8.5,,1.999
1422,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.4,3.5,4,7.5,42,2
1664,F2,6,F2-6,RRP,R,poor,rich,rich,f,1.2,5.5,4,9.5,,2
1865,F2,1,F2-1,PPR,P,rich,poor,poor,f,1.4,4.5,4,8.5,36,2.001
1628,F2,7,F2-7,RRR,R,rich,rich,rich,f,1.5,4.5,3,7.5,36,2.001
1792,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.4,4.5,4,8.5,37,2.001
1505,F2,3,F2-3,SSS,S,std,std,std,f,1.4,5.5,4,9.5,44,2.001
1849,F2,2,F2-2,PRP,P,poor,rich,poor,f,1.5,5.5,5,10.5,,2.001
2017,F2,4,F2-4,PSP,P,poor,std,poor,f,1.4,6.5,5,11.5,34,2.002
1613,F2,5,F2-5,RSS,R,std,std,rich,f,1.3,5.5,4,9.5,34,2.002
2053,F2,3,F2-3,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,36,2.002
2045,F2,2,F2-2,PPS,P,std,poor,poor,f,1.3,5.5,4,9.5,41,2.002
2101,F2,6,F2-6,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,,2.002
1734,F2,8,F2-8,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,,2.002
2042,F2,1,F2-1,PPS,P,std,poor,poor,f,1.4,5.5,3,8.5,34,2.003
1997,F2,6,F2-6,PSS,P,std,std,poor,f,1.3,5.5,4,9.5,37,2.003
1761,F2,9,F2-9,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,38,2.003
1440,F2,1,F2-1,RRS,R,std,rich,rich,f,1.9,5.5,4,9.5,45,2.003
2088,F2,8,F2-8,PSS,P,std,std,poor,f,1.7,5.5,4,9.5,30,2.004
1446,F2,2,F2-2,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,36,2.004
1793,F2,8,F2-8,RPR,R,rich,poor,rich,f,1.4,4.5,3,7.5,38,2.004
1599,F2,3,F2-3,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,39,2.004
1528,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.5,3.5,4,7.5,42,2.004
2048,F2,2,F2-2,PPS,P,std,poor,poor,f,1.5,5.5,4,9.5,32,2.005
1502,F2,2,F2-2,SSS,S,std,std,std,f,1.6,5.5,4,9.5,33,2.005
1646,F2,5,F2-5,RRS,R,std,rich,rich,f,1.4,5.5,3,8.5,36,2.005
1437,F2,1,F2-1,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,37,2.005
2008,F2,2,F2-2,PSP,P,poor,std,poor,f,1.3,6.5,5,11.5,,2.005
1916,F2,3,F2-3,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,26,2.006
1476,F2,7,F2-7,RSR,R,rich,std,rich,f,1.7,3.5,5,8.5,46,2.006
2023,F2,4,F2-4,PSP,P,poor,std,poor,f,1.2,6.5,5,11.5,,2.006
2010,F2,2,F2-2,PSP,P,poor,std,poor,f,1.6,6.5,4,10.5,28,2.008
2109,F2,8,F2-8,PPS,P,std,poor,poor,f,1.5,5.5,5,10.5,32,2.008
1800,F2,5,F2-5,RPP,R,poor,poor,rich,f,1.5,6.5,4,10.5,36,2.008
1700,F2,6,F2-6,RPR,R,rich,poor,rich,f,1.6,3.5,3,6.5,36,2.008
1486,F2,1,F2-1,RSS,R,std,std,rich,f,1.7,5.5,5,10.5,36,2.008
1482,F2,1,F2-1,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,38,2.008
2050,F2,2,F2-2,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,,2.008
1855,F2,1,F2-1,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,33,2.009
1490,F2,2,F2-2,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,35,2.009
1936,F2,4,F2-4,PPR,P,rich,poor,poor,f,1.3,4.5,4,8.5,46,2.009
1907,F2,2,F2-2,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,,2.009
1572,F2,3,F2-3,RRS,R,std,rich,rich,f,1.7,5.5,4,9.5,,2.009
1400,F2,1,F2-1,RRR,R,rich,rich,rich,f,1.7,3.5,4,7.5,38,2.01
1404,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.8,3.5,5,8.5,44,2.01
2041,F2,1,F2-1,PPS,P,std,poor,poor,f,1.4,5.5,4,9.5,,2.01
2059,F2,6,F2-6,PPS,P,std,poor,poor,f,1.5,4.5,4,8.5,,2.01
1923,F2,4,F2-4,PSS,P,std,std,poor,f,1.7,5.5,4,9.5,,2.01
1512,F2,4,F2-4,SSS,S,std,std,std,f,1.5,5.5,4,9.5,38,2.011
1996,F2,6,F2-6,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,42,2.011
1876,F2,8,F2-8,RPP,R,poor,poor,rich,f,1.1,6.5,4,10.5,32,2.012
