no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1638,F2,8,F2-8,RRR,R,rich,rich,rich,f,1.5,4.5,4,8.5,37,2.054
1961,F2,8,F2-8,PRR,P,rich,rich,poor,f,1.7,4.5,4,8.5,39,2.054
1554,F2,6,F2-6,RSR,R,rich,std,rich,f,1.8,3.5,4,7.5,44,2.054
1411,F2,2,F2-2,RRR,R,rich,rich,rich,f,1.8,4.5,4,8.5,,2.054
1728,F2,7,F2-7,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,,2.054
1752,F2,8,F2-8,RSS,R,std,std,rich,f,1.6,5.5,4,9.5,37,2.055
1568,F2,5,F2-5,RPR,R,rich,poor,rich,f,1.2,1.5,5,6.5,42,2.055
1838,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.4,4.5,3,7.5,44,2.055
2095,F2,5,F2-5,PPS,P,std,poor,poor,f,1.6,5.5,5,10.5,,2.055
1831,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.055
1890,F2,6,F2-6,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.055
1433,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.7,4.5,4,8.5,29,2.056
